scenario_id,ue_id,user_index,rb_index,rate_kbps,sinr_db,cqi
simu5g_00000107,15,0,9,1160.0,,15.0
simu5g_00000107,15,0,10,1160.0,,15.0
simu5g_00000107,15,0,11,1160.0,,15.0
simu5g_00000107,15,0,12,1128.0,,14.0
simu5g_00000107,15,0,13,1160.0,,15.0
simu5g_00000107,15,0,14,1160.0,,15.0
simu5g_00000107,15,0,15,1160.0,,15.0
simu5g_00000107,15,0,16,1160.0,,15.0
simu5g_00000107,15,0,17,1160.0,,15.0
simu5g_00000107,15,0,18,1160.0,,15.0
simu5g_00000107,15,0,19,1160.0,,15.0
simu5g_00000107,15,0,20,1160.0,,15.0
simu5g_00000107,15,0,21,1160.0,,15.0
simu5g_00000107,15,0,22,1160.0,,15.0
simu5g_00000107,15,0,23,1160.0,,15.0
simu5g_00000107,15,0,24,1160.0,,15.0
simu5g_00000107,31,1,0,1128.0,,14.0
simu5g_00000107,31,1,1,984.0,,13.0
simu5g_00000107,31,1,2,1160.0,,15.0
simu5g_00000107,31,1,3,1160.0,,15.0
simu5g_00000107,31,1,4,1160.0,,15.0
simu5g_00000107,31,1,5,1160.0,,15.0
simu5g_00000107,31,1,6,1160.0,,15.0
simu5g_00000107,31,1,7,1160.0,,15.0
simu5g_00000107,31,1,8,1160.0,,15.0
simu5g_00000107,31,1,9,1160.0,,15.0
simu5g_00000107,31,1,10,1160.0,,15.0
simu5g_00000107,31,1,11,1128.0,,14.0
simu5g_00000107,31,1,12,704.0,,10.0
simu5g_00000107,31,1,13,1160.0,,15.0
simu5g_00000107,31,1,14,1160.0,,15.0
simu5g_00000107,31,1,15,1160.0,,15.0
simu5g_00000107,31,1,16,1128.0,,14.0
simu5g_00000107,31,1,17,1160.0,,15.0
simu5g_00000107,31,1,18,1160.0,,15.0
simu5g_00000107,31,1,19,1128.0,,14.0
simu5g_00000107,31,1,20,1128.0,,14.0
simu5g_00000107,31,1,21,1160.0,,15.0
simu5g_00000107,31,1,22,1160.0,,15.0
simu5g_00000107,31,1,23,1160.0,,15.0
simu5g_00000107,31,1,24,1160.0,,15.0
simu5g_00000108,0,0,0,1160.0,,15.0
simu5g_00000108,0,0,1,608.0,,9.0
simu5g_00000108,0,0,2,1160.0,,15.0
simu5g_00000108,0,0,3,984.0,,13.0
simu5g_00000108,0,0,4,1160.0,,15.0
simu5g_00000108,0,0,5,984.0,,13.0
simu5g_00000108,0,0,6,1128.0,,14.0
simu5g_00000108,0,0,7,1160.0,,15.0
simu5g_00000108,0,0,8,888.0,,12.0
simu5g_00000108,0,0,9,1128.0,,14.0
simu5g_00000108,0,0,10,1160.0,,15.0
simu5g_00000108,0,0,11,1160.0,,15.0
simu5g_00000108,0,0,12,1128.0,,14.0
simu5g_00000108,0,0,13,1128.0,,14.0
simu5g_00000108,0,0,14,1128.0,,14.0
simu5g_00000108,0,0,15,1160.0,,15.0
simu5g_00000108,0,0,16,1128.0,,14.0
simu5g_00000108,0,0,17,1160.0,,15.0
simu5g_00000108,0,0,18,1160.0,,15.0
simu5g_00000108,0,0,19,1128.0,,14.0
simu5g_00000108,0,0,20,1160.0,,15.0
simu5g_00000108,0,0,21,888.0,,12.0
simu5g_00000108,0,0,22,1160.0,,15.0
simu5g_00000108,0,0,23,1160.0,,15.0
simu5g_00000108,0,0,24,1128.0,,14.0
simu5g_00000108,1,1,0,1160.0,,15.0
simu5g_00000108,1,1,1,1128.0,,14.0
simu5g_00000108,1,1,2,1128.0,,14.0
simu5g_00000108,1,1,3,1160.0,,15.0
simu5g_00000108,1,1,4,1128.0,,14.0
simu5g_00000108,1,1,5,1160.0,,15.0
simu5g_00000108,1,1,6,1160.0,,15.0
simu5g_00000108,1,1,7,984.0,,13.0
simu5g_00000108,1,1,8,888.0,,12.0
simu5g_00000108,1,1,9,1160.0,,15.0
simu5g_00000108,1,1,10,1160.0,,15.0
simu5g_00000108,1,1,11,1128.0,,14.0
simu5g_00000108,1,1,12,1128.0,,14.0
simu5g_00000108,1,1,13,1160.0,,15.0
simu5g_00000108,1,1,14,1160.0,,15.0
simu5g_00000108,1,1,15,1160.0,,15.0
simu5g_00000108,1,1,16,1128.0,,14.0
simu5g_00000108,1,1,17,1128.0,,14.0
simu5g_00000108,1,1,18,1128.0,,14.0
simu5g_00000108,1,1,19,1160.0,,15.0
simu5g_00000108,1,1,20,1160.0,,15.0
simu5g_00000108,1,1,21,808.0,,11.0
simu5g_00000108,1,1,22,1160.0,,15.0
simu5g_00000108,1,1,23,1128.0,,14.0
simu5g_00000108,1,1,24,1160.0,,15.0
simu5g_00000109,15,0,0,1160.0,,15.0
simu5g_00000109,15,0,1,1160.0,,15.0
simu5g_00000109,15,0,2,1160.0,,15.0
simu5g_00000109,15,0,3,1160.0,,15.0
simu5g_00000109,15,0,4,1160.0,,15.0
simu5g_00000109,15,0,5,984.0,,13.0
simu5g_00000109,15,0,6,1160.0,,15.0
simu5g_00000109,15,0,7,1160.0,,15.0
simu5g_00000109,15,0,8,1160.0,,15.0
simu5g_00000109,15,0,9,1160.0,,15.0
simu5g_00000109,15,0,10,1160.0,,15.0
simu5g_00000109,15,0,11,1160.0,,15.0
simu5g_00000109,15,0,12,1128.0,,14.0
simu5g_00000109,15,0,13,1160.0,,15.0
simu5g_00000109,15,0,14,1160.0,,15.0
simu5g_00000109,15,0,15,1160.0,,15.0
simu5g_00000109,15,0,16,1160.0,,15.0
simu5g_00000109,15,0,17,1160.0,,15.0
simu5g_00000109,15,0,18,1160.0,,15.0
simu5g_00000109,15,0,19,1160.0,,15.0
simu5g_00000109,15,0,20,1160.0,,15.0
simu5g_00000109,15,0,21,1160.0,,15.0
simu5g_00000109,15,0,22,1160.0,,15.0
simu5g_00000109,15,0,23,1160.0,,15.0
simu5g_00000109,15,0,24,1160.0,,15.0
simu5g_00000109,31,1,0,1128.0,,14.0
simu5g_00000109,31,1,1,984.0,,13.0
simu5g_00000109,31,1,2,1160.0,,15.0
simu5g_00000109,31,1,3,1160.0,,15.0
simu5g_00000109,31,1,4,1160.0,,15.0
simu5g_00000109,31,1,5,1160.0,,15.0
simu5g_00000109,31,1,6,1160.0,,15.0
simu5g_00000109,31,1,7,1160.0,,15.0
simu5g_00000109,31,1,8,1160.0,,15.0
simu5g_00000109,31,1,9,1160.0,,15.0
simu5g_00000109,31,1,10,1160.0,,15.0
simu5g_00000109,31,1,11,1128.0,,14.0
simu5g_00000109,31,1,12,704.0,,10.0
simu5g_00000109,31,1,13,1160.0,,15.0
simu5g_00000109,31,1,14,1160.0,,15.0
simu5g_00000109,31,1,15,1160.0,,15.0
simu5g_00000109,31,1,16,1128.0,,14.0
simu5g_00000109,31,1,17,1160.0,,15.0
simu5g_00000109,31,1,18,1160.0,,15.0
simu5g_00000109,31,1,19,1128.0,,14.0
simu5g_00000109,31,1,20,1128.0,,14.0
simu5g_00000109,31,1,21,1160.0,,15.0
simu5g_00000109,31,1,22,1160.0,,15.0
simu5g_00000109,31,1,23,1160.0,,15.0
simu5g_00000109,31,1,24,1160.0,,15.0
simu5g_00000110,0,0,0,1160.0,,15.0
simu5g_00000110,0,0,1,608.0,,9.0
simu5g_00000110,0,0,2,1160.0,,15.0
simu5g_00000110,0,0,3,984.0,,13.0
simu5g_00000110,0,0,4,1160.0,,15.0
simu5g_00000110,0,0,5,984.0,,13.0
simu5g_00000110,0,0,6,1128.0,,14.0
simu5g_00000110,0,0,7,1160.0,,15.0
simu5g_00000110,0,0,8,888.0,,12.0
simu5g_00000110,0,0,9,1128.0,,14.0
simu5g_00000110,0,0,10,1160.0,,15.0
simu5g_00000110,0,0,11,1160.0,,15.0
simu5g_00000110,0,0,12,1128.0,,14.0
simu5g_00000110,0,0,13,1128.0,,14.0
simu5g_00000110,0,0,14,1128.0,,14.0
simu5g_00000110,0,0,15,1160.0,,15.0
simu5g_00000110,0,0,16,1128.0,,14.0
simu5g_00000110,0,0,17,1160.0,,15.0
simu5g_00000110,0,0,18,1160.0,,15.0
simu5g_00000110,0,0,19,1128.0,,14.0
simu5g_00000110,0,0,20,1160.0,,15.0
simu5g_00000110,0,0,21,888.0,,12.0
simu5g_00000110,0,0,22,1160.0,,15.0
simu5g_00000110,0,0,23,1160.0,,15.0
simu5g_00000110,0,0,24,1128.0,,14.0
simu5g_00000110,1,1,0,1160.0,,15.0
simu5g_00000110,1,1,1,1128.0,,14.0
simu5g_00000110,1,1,2,1128.0,,14.0
simu5g_00000110,1,1,3,1160.0,,15.0
simu5g_00000110,1,1,4,1128.0,,14.0
simu5g_00000110,1,1,5,1160.0,,15.0
simu5g_00000110,1,1,6,1160.0,,15.0
simu5g_00000110,1,1,7,984.0,,13.0
simu5g_00000110,1,1,8,888.0,,12.0
simu5g_00000110,1,1,9,1160.0,,15.0
simu5g_00000110,1,1,10,1160.0,,15.0
simu5g_00000110,1,1,11,1128.0,,14.0
simu5g_00000110,1,1,12,1128.0,,14.0
simu5g_00000110,1,1,13,1160.0,,15.0
simu5g_00000110,1,1,14,1160.0,,15.0
simu5g_00000110,1,1,15,1160.0,,15.0
simu5g_00000110,1,1,16,1128.0,,14.0
simu5g_00000110,1,1,17,1128.0,,14.0
simu5g_00000110,1,1,18,1128.0,,14.0
simu5g_00000110,1,1,19,1160.0,,15.0
simu5g_00000110,1,1,20,1160.0,,15.0
simu5g_00000110,1,1,21,808.0,,11.0
simu5g_00000110,1,1,22,1160.0,,15.0
simu5g_00000110,1,1,23,1128.0,,14.0
simu5g_00000110,1,1,24,1160.0,,15.0
simu5g_00000111,15,0,0,1160.0,,15.0
simu5g_00000111,15,0,1,1160.0,,15.0
simu5g_00000111,15,0,2,1160.0,,15.0
simu5g_00000111,15,0,3,1160.0,,15.0
simu5g_00000111,15,0,4,1160.0,,15.0
simu5g_00000111,15,0,5,984.0,,13.0
simu5g_00000111,15,0,6,1160.0,,15.0
simu5g_00000111,15,0,7,1160.0,,15.0
simu5g_00000111,15,0,8,1160.0,,15.0
simu5g_00000111,15,0,9,1160.0,,15.0
simu5g_00000111,15,0,10,1160.0,,15.0
simu5g_00000111,15,0,11,1160.0,,15.0
simu5g_00000111,15,0,12,1128.0,,14.0
simu5g_00000111,15,0,13,1160.0,,15.0
simu5g_00000111,15,0,14,1160.0,,15.0
simu5g_00000111,15,0,15,1160.0,,15.0
simu5g_00000111,15,0,16,1160.0,,15.0
simu5g_00000111,15,0,17,1160.0,,15.0
simu5g_00000111,15,0,18,1160.0,,15.0
simu5g_00000111,15,0,19,1160.0,,15.0
simu5g_00000111,15,0,20,1160.0,,15.0
simu5g_00000111,15,0,21,1160.0,,15.0
simu5g_00000111,15,0,22,1160.0,,15.0
simu5g_00000111,15,0,23,1160.0,,15.0
simu5g_00000111,15,0,24,1160.0,,15.0
simu5g_00000111,31,1,0,1160.0,,15.0
simu5g_00000111,31,1,1,1128.0,,14.0
simu5g_00000111,31,1,2,1160.0,,15.0
simu5g_00000111,31,1,3,1160.0,,15.0
simu5g_00000111,31,1,4,1160.0,,15.0
simu5g_00000111,31,1,5,1160.0,,15.0
simu5g_00000111,31,1,6,1160.0,,15.0
simu5g_00000111,31,1,7,1160.0,,15.0
simu5g_00000111,31,1,8,1160.0,,15.0
simu5g_00000111,31,1,9,1160.0,,15.0
simu5g_00000111,31,1,10,1160.0,,15.0
simu5g_00000111,31,1,11,1160.0,,15.0
simu5g_00000111,31,1,12,984.0,,13.0
simu5g_00000111,31,1,13,1160.0,,15.0
simu5g_00000111,31,1,14,1160.0,,15.0
simu5g_00000111,31,1,15,1160.0,,15.0
simu5g_00000111,31,1,16,1160.0,,15.0
simu5g_00000111,31,1,17,1160.0,,15.0
simu5g_00000111,31,1,18,1160.0,,15.0
simu5g_00000111,31,1,19,1160.0,,15.0
simu5g_00000111,31,1,20,1160.0,,15.0
simu5g_00000111,31,1,21,1160.0,,15.0
simu5g_00000111,31,1,22,1160.0,,15.0
simu5g_00000111,31,1,23,1160.0,,15.0
simu5g_00000111,31,1,24,1160.0,,15.0
simu5g_00000112,0,0,0,1160.0,,15.0
simu5g_00000112,0,0,1,808.0,,11.0
simu5g_00000112,0,0,2,1160.0,,15.0
simu5g_00000112,0,0,3,1128.0,,14.0
simu5g_00000112,0,0,4,1160.0,,15.0
simu5g_00000112,0,0,5,1128.0,,14.0
simu5g_00000112,0,0,6,1160.0,,15.0
simu5g_00000112,0,0,7,1160.0,,15.0
simu5g_00000112,0,0,8,984.0,,13.0
simu5g_00000112,0,0,9,1160.0,,15.0
simu5g_00000112,0,0,10,1160.0,,15.0
simu5g_00000112,0,0,11,1160.0,,15.0
simu5g_00000112,0,0,12,1160.0,,15.0
simu5g_00000112,0,0,13,1160.0,,15.0
simu5g_00000112,0,0,14,1160.0,,15.0
simu5g_00000112,0,0,15,1160.0,,15.0
simu5g_00000112,0,0,16,1160.0,,15.0
simu5g_00000112,0,0,17,1160.0,,15.0
simu5g_00000112,0,0,18,1160.0,,15.0
simu5g_00000112,0,0,19,1160.0,,15.0
simu5g_00000112,0,0,20,1160.0,,15.0
simu5g_00000112,0,0,21,1128.0,,14.0
simu5g_00000112,0,0,22,1160.0,,15.0
simu5g_00000112,0,0,23,1160.0,,15.0
simu5g_00000112,0,0,24,1128.0,,14.0
simu5g_00000112,1,1,0,1160.0,,15.0
simu5g_00000112,1,1,1,1128.0,,14.0
simu5g_00000112,1,1,2,1128.0,,14.0
simu5g_00000112,1,1,3,1160.0,,15.0
simu5g_00000112,1,1,4,1128.0,,14.0
simu5g_00000112,1,1,5,1160.0,,15.0
simu5g_00000112,1,1,6,1160.0,,15.0
simu5g_00000112,1,1,7,984.0,,13.0
simu5g_00000112,1,1,8,888.0,,12.0
simu5g_00000112,1,1,9,1160.0,,15.0
simu5g_00000112,1,1,10,1160.0,,15.0
simu5g_00000112,1,1,11,1128.0,,14.0
simu5g_00000112,1,1,12,1128.0,,14.0
simu5g_00000112,1,1,13,1160.0,,15.0
simu5g_00000112,1,1,14,1160.0,,15.0
simu5g_00000112,1,1,15,1160.0,,15.0
simu5g_00000112,1,1,16,1128.0,,14.0
simu5g_00000112,1,1,17,1128.0,,14.0
simu5g_00000112,1,1,18,1128.0,,14.0
simu5g_00000112,1,1,19,1160.0,,15.0
simu5g_00000112,1,1,20,1160.0,,15.0
simu5g_00000112,1,1,21,808.0,,11.0
simu5g_00000112,1,1,22,1160.0,,15.0
simu5g_00000112,1,1,23,1128.0,,14.0
simu5g_00000112,1,1,24,1160.0,,15.0
simu5g_00000113,15,0,0,1160.0,,15.0
simu5g_00000113,15,0,1,1160.0,,15.0
simu5g_00000113,15,0,2,1160.0,,15.0
simu5g_00000113,15,0,3,1160.0,,15.0
simu5g_00000113,15,0,4,1160.0,,15.0
simu5g_00000113,15,0,5,984.0,,13.0
simu5g_00000113,15,0,6,1160.0,,15.0
simu5g_00000113,15,0,7,1160.0,,15.0
simu5g_00000113,15,0,8,1160.0,,15.0
simu5g_00000113,15,0,9,1160.0,,15.0
simu5g_00000113,15,0,10,1160.0,,15.0
simu5g_00000113,15,0,11,1160.0,,15.0
simu5g_00000113,15,0,12,1128.0,,14.0
simu5g_00000113,15,0,13,1160.0,,15.0
simu5g_00000113,15,0,14,1160.0,,15.0
simu5g_00000113,15,0,15,1160.0,,15.0
simu5g_00000113,15,0,16,1160.0,,15.0
simu5g_00000113,15,0,17,1160.0,,15.0
simu5g_00000113,15,0,18,1160.0,,15.0
simu5g_00000113,15,0,19,1160.0,,15.0
simu5g_00000113,15,0,20,1160.0,,15.0
simu5g_00000113,15,0,21,1160.0,,15.0
simu5g_00000113,15,0,22,1160.0,,15.0
simu5g_00000113,15,0,23,1160.0,,15.0
simu5g_00000113,15,0,24,1160.0,,15.0
simu5g_00000113,31,1,0,1160.0,,15.0
simu5g_00000113,31,1,1,1128.0,,14.0
simu5g_00000113,31,1,2,1160.0,,15.0
simu5g_00000113,31,1,3,1160.0,,15.0
simu5g_00000113,31,1,4,1160.0,,15.0
simu5g_00000113,31,1,5,1160.0,,15.0
simu5g_00000113,31,1,6,1160.0,,15.0
simu5g_00000113,31,1,7,1160.0,,15.0
simu5g_00000113,31,1,8,1160.0,,15.0
simu5g_00000113,31,1,9,1160.0,,15.0
simu5g_00000113,31,1,10,1160.0,,15.0
simu5g_00000113,31,1,11,1160.0,,15.0
simu5g_00000113,31,1,12,984.0,,13.0
simu5g_00000113,31,1,13,1160.0,,15.0
simu5g_00000113,31,1,14,1160.0,,15.0
simu5g_00000113,31,1,15,1160.0,,15.0
simu5g_00000113,31,1,16,1160.0,,15.0
simu5g_00000113,31,1,17,1160.0,,15.0
simu5g_00000113,31,1,18,1160.0,,15.0
simu5g_00000113,31,1,19,1160.0,,15.0
simu5g_00000113,31,1,20,1160.0,,15.0
simu5g_00000113,31,1,21,1160.0,,15.0
simu5g_00000113,31,1,22,1160.0,,15.0
simu5g_00000113,31,1,23,1160.0,,15.0
simu5g_00000113,31,1,24,1160.0,,15.0
simu5g_00000114,0,0,0,1160.0,,15.0
simu5g_00000114,0,0,1,808.0,,11.0
simu5g_00000114,0,0,2,1160.0,,15.0
simu5g_00000114,0,0,3,1128.0,,14.0
simu5g_00000114,0,0,4,1160.0,,15.0
simu5g_00000114,0,0,5,1128.0,,14.0
simu5g_00000114,0,0,6,1160.0,,15.0
simu5g_00000114,0,0,7,1160.0,,15.0
simu5g_00000114,0,0,8,984.0,,13.0
simu5g_00000114,0,0,9,1160.0,,15.0
simu5g_00000114,0,0,10,1160.0,,15.0
simu5g_00000114,0,0,11,1160.0,,15.0
simu5g_00000114,0,0,12,1160.0,,15.0
simu5g_00000114,0,0,13,1160.0,,15.0
simu5g_00000114,0,0,14,1160.0,,15.0
simu5g_00000114,0,0,15,1160.0,,15.0
simu5g_00000114,0,0,16,1160.0,,15.0
simu5g_00000114,0,0,17,1160.0,,15.0
simu5g_00000114,0,0,18,1160.0,,15.0
simu5g_00000114,0,0,19,1160.0,,15.0
simu5g_00000114,0,0,20,1160.0,,15.0
simu5g_00000114,0,0,21,1128.0,,14.0
simu5g_00000114,0,0,22,1160.0,,15.0
simu5g_00000114,0,0,23,1160.0,,15.0
simu5g_00000114,0,0,24,1128.0,,14.0
simu5g_00000114,1,1,0,1160.0,,15.0
simu5g_00000114,1,1,1,1128.0,,14.0
simu5g_00000114,1,1,2,1128.0,,14.0
simu5g_00000114,1,1,3,1160.0,,15.0
simu5g_00000114,1,1,4,1128.0,,14.0
simu5g_00000114,1,1,5,1160.0,,15.0
simu5g_00000114,1,1,6,1160.0,,15.0
simu5g_00000114,1,1,7,984.0,,13.0
simu5g_00000114,1,1,8,888.0,,12.0
simu5g_00000114,1,1,9,1160.0,,15.0
simu5g_00000114,1,1,10,1160.0,,15.0
simu5g_00000114,1,1,11,1128.0,,14.0
simu5g_00000114,1,1,12,1128.0,,14.0
simu5g_00000114,1,1,13,1160.0,,15.0
simu5g_00000114,1,1,14,1160.0,,15.0
simu5g_00000114,1,1,15,1160.0,,15.0
simu5g_00000114,1,1,16,1128.0,,14.0
simu5g_00000114,1,1,17,1128.0,,14.0
simu5g_00000114,1,1,18,1128.0,,14.0
simu5g_00000114,1,1,19,1160.0,,15.0
simu5g_00000114,1,1,20,1160.0,,15.0
simu5g_00000114,1,1,21,808.0,,11.0
simu5g_00000114,1,1,22,1160.0,,15.0
simu5g_00000114,1,1,23,1128.0,,14.0
simu5g_00000114,1,1,24,1160.0,,15.0
simu5g_00000115,15,0,0,1160.0,,15.0
simu5g_00000115,15,0,1,1160.0,,15.0
simu5g_00000115,15,0,2,1160.0,,15.0
simu5g_00000115,15,0,3,1160.0,,15.0
simu5g_00000115,15,0,4,1160.0,,15.0
simu5g_00000115,15,0,5,984.0,,13.0
simu5g_00000115,15,0,6,1160.0,,15.0
simu5g_00000115,15,0,7,1160.0,,15.0
simu5g_00000115,15,0,8,1160.0,,15.0
simu5g_00000115,15,0,9,1160.0,,15.0
simu5g_00000115,15,0,10,1160.0,,15.0
simu5g_00000115,15,0,11,1160.0,,15.0
simu5g_00000115,15,0,12,1128.0,,14.0
simu5g_00000115,15,0,13,1160.0,,15.0
simu5g_00000115,15,0,14,1160.0,,15.0
simu5g_00000115,15,0,15,1160.0,,15.0
simu5g_00000115,15,0,16,1160.0,,15.0
simu5g_00000115,15,0,17,1160.0,,15.0
simu5g_00000115,15,0,18,1160.0,,15.0
simu5g_00000115,15,0,19,1160.0,,15.0
simu5g_00000115,15,0,20,1160.0,,15.0
simu5g_00000115,15,0,21,1160.0,,15.0
simu5g_00000115,15,0,22,1160.0,,15.0
simu5g_00000115,15,0,23,1160.0,,15.0
simu5g_00000115,15,0,24,1160.0,,15.0
simu5g_00000115,31,1,0,1160.0,,15.0
simu5g_00000115,31,1,1,1128.0,,14.0
simu5g_00000115,31,1,2,1160.0,,15.0
simu5g_00000115,31,1,3,1160.0,,15.0
simu5g_00000115,31,1,4,1160.0,,15.0
simu5g_00000115,31,1,5,1160.0,,15.0
simu5g_00000115,31,1,6,1160.0,,15.0
simu5g_00000115,31,1,7,1160.0,,15.0
simu5g_00000115,31,1,8,1160.0,,15.0
simu5g_00000115,31,1,9,1160.0,,15.0
simu5g_00000115,31,1,10,1160.0,,15.0
simu5g_00000115,31,1,11,1160.0,,15.0
simu5g_00000115,31,1,12,984.0,,13.0
simu5g_00000115,31,1,13,1160.0,,15.0
simu5g_00000115,31,1,14,1160.0,,15.0
simu5g_00000115,31,1,15,1160.0,,15.0
simu5g_00000115,31,1,16,1160.0,,15.0
simu5g_00000115,31,1,17,1160.0,,15.0
simu5g_00000115,31,1,18,1160.0,,15.0
simu5g_00000115,31,1,19,1160.0,,15.0
simu5g_00000115,31,1,20,1160.0,,15.0
simu5g_00000115,31,1,21,1160.0,,15.0
simu5g_00000115,31,1,22,1160.0,,15.0
simu5g_00000115,31,1,23,1160.0,,15.0
simu5g_00000115,31,1,24,1160.0,,15.0
simu5g_00000116,0,0,0,1160.0,,15.0
simu5g_00000116,0,0,1,808.0,,11.0
simu5g_00000116,0,0,2,1160.0,,15.0
simu5g_00000116,0,0,3,1128.0,,14.0
simu5g_00000116,0,0,4,1160.0,,15.0
simu5g_00000116,0,0,5,1128.0,,14.0
simu5g_00000116,0,0,6,1160.0,,15.0
simu5g_00000116,0,0,7,1160.0,,15.0
simu5g_00000116,0,0,8,984.0,,13.0
simu5g_00000116,0,0,9,1160.0,,15.0
simu5g_00000116,0,0,10,1160.0,,15.0
simu5g_00000116,0,0,11,1160.0,,15.0
simu5g_00000116,0,0,12,1160.0,,15.0
simu5g_00000116,0,0,13,1160.0,,15.0
simu5g_00000116,0,0,14,1160.0,,15.0
simu5g_00000116,0,0,15,1160.0,,15.0
simu5g_00000116,0,0,16,1160.0,,15.0
simu5g_00000116,0,0,17,1160.0,,15.0
simu5g_00000116,0,0,18,1160.0,,15.0
simu5g_00000116,0,0,19,1160.0,,15.0
simu5g_00000116,0,0,20,1160.0,,15.0
simu5g_00000116,0,0,21,1128.0,,14.0
simu5g_00000116,0,0,22,1160.0,,15.0
simu5g_00000116,0,0,23,1160.0,,15.0
simu5g_00000116,0,0,24,1128.0,,14.0
simu5g_00000116,1,1,0,1160.0,,15.0
simu5g_00000116,1,1,1,1128.0,,14.0
simu5g_00000116,1,1,2,1128.0,,14.0
simu5g_00000116,1,1,3,1160.0,,15.0
simu5g_00000116,1,1,4,1128.0,,14.0
simu5g_00000116,1,1,5,1160.0,,15.0
simu5g_00000116,1,1,6,1160.0,,15.0
simu5g_00000116,1,1,7,984.0,,13.0
simu5g_00000116,1,1,8,888.0,,12.0
simu5g_00000116,1,1,9,1160.0,,15.0
simu5g_00000116,1,1,10,1160.0,,15.0
simu5g_00000116,1,1,11,1128.0,,14.0
simu5g_00000116,1,1,12,1128.0,,14.0
simu5g_00000116,1,1,13,1160.0,,15.0
simu5g_00000116,1,1,14,1160.0,,15.0
simu5g_00000116,1,1,15,1160.0,,15.0
simu5g_00000116,1,1,16,1128.0,,14.0
simu5g_00000116,1,1,17,1128.0,,14.0
simu5g_00000116,1,1,18,1128.0,,14.0
simu5g_00000116,1,1,19,1160.0,,15.0
simu5g_00000116,1,1,20,1160.0,,15.0
simu5g_00000116,1,1,21,808.0,,11.0
simu5g_00000116,1,1,22,1160.0,,15.0
simu5g_00000116,1,1,23,1128.0,,14.0
simu5g_00000116,1,1,24,1160.0,,15.0
simu5g_00000117,15,0,0,1160.0,,15.0
simu5g_00000117,15,0,1,1160.0,,15.0
simu5g_00000117,15,0,2,1160.0,,15.0
simu5g_00000117,15,0,3,1160.0,,15.0
simu5g_00000117,15,0,4,1128.0,,14.0
simu5g_00000117,15,0,5,984.0,,13.0
simu5g_00000117,15,0,6,1160.0,,15.0
simu5g_00000117,15,0,7,1160.0,,15.0
simu5g_00000117,15,0,8,1160.0,,15.0
simu5g_00000117,15,0,9,1160.0,,15.0
simu5g_00000117,15,0,10,1160.0,,15.0
simu5g_00000117,15,0,11,1160.0,,15.0
simu5g_00000117,15,0,12,1128.0,,14.0
simu5g_00000117,15,0,13,1160.0,,15.0
simu5g_00000117,15,0,14,1160.0,,15.0
simu5g_00000117,15,0,15,1160.0,,15.0
simu5g_00000117,15,0,16,1160.0,,15.0
simu5g_00000117,15,0,17,1160.0,,15.0
simu5g_00000117,15,0,18,1160.0,,15.0
simu5g_00000117,15,0,19,1160.0,,15.0
simu5g_00000117,15,0,20,1160.0,,15.0
simu5g_00000117,15,0,21,1160.0,,15.0
simu5g_00000117,15,0,22,1160.0,,15.0
simu5g_00000117,15,0,23,1160.0,,15.0
simu5g_00000117,15,0,24,1160.0,,15.0
simu5g_00000117,31,1,0,1160.0,,15.0
simu5g_00000117,31,1,1,1128.0,,14.0
simu5g_00000117,31,1,2,1160.0,,15.0
simu5g_00000117,31,1,3,1160.0,,15.0
simu5g_00000117,31,1,4,1160.0,,15.0
simu5g_00000117,31,1,5,1160.0,,15.0
simu5g_00000117,31,1,6,1160.0,,15.0
simu5g_00000117,31,1,7,1160.0,,15.0
simu5g_00000117,31,1,8,1160.0,,15.0
simu5g_00000117,31,1,9,1160.0,,15.0
simu5g_00000117,31,1,10,1160.0,,15.0
simu5g_00000117,31,1,11,1160.0,,15.0
